term_name,source,p_values,significant,intersection_sizes,direction
regulation of type I interferon-mediated signaling pathway,GO:BP,7.56732114314046e-07,TRUE,7,Up-regulated
Immune System,REAC,1.02875801251371e-06,TRUE,38,Up-regulated
positive regulation of interferon-beta production,GO:BP,1.25038161849356e-06,TRUE,7,Up-regulated
regulation of tumor necrosis factor production,GO:BP,1.44482881420206e-06,TRUE,12,Up-regulated
tumor necrosis factor production,GO:BP,1.44482881420206e-06,TRUE,12,Up-regulated
cellular response to dsRNA,GO:BP,1.58522333169715e-06,TRUE,6,Up-regulated
OAS antiviral response,REAC,1.60441185103601e-06,TRUE,4,Up-regulated
tumor necrosis factor superfamily cytokine production,GO:BP,1.93698223511722e-06,TRUE,12,Up-regulated
regulation of tumor necrosis factor superfamily cytokine production,GO:BP,1.93698223511722e-06,TRUE,12,Up-regulated
negative regulation of type I interferon-mediated signaling pathway,GO:BP,1.95965939439796e-06,TRUE,4,Up-regulated
MDA-5 signaling pathway,GO:BP,1.96392785389643e-06,TRUE,5,Up-regulated
positive regulation of cellular process,GO:BP,2.03716336928892e-06,TRUE,105,Up-regulated
2'-5'-oligoadenylate synthetase activity,GO:MF,2.22070499108936e-06,TRUE,3,Up-regulated
antibacterial humoral response,GO:BP,2.22638832728001e-06,TRUE,9,Up-regulated
mucosal immune response,GO:BP,2.47689118874064e-06,TRUE,6,Up-regulated
regulation of type I interferon production,GO:BP,2.55749697533949e-06,TRUE,11,Up-regulated
type I interferon production,GO:BP,2.55749697533949e-06,TRUE,11,Up-regulated
positive regulation of innate immune response,GO:BP,2.71070185994524e-06,TRUE,19,Up-regulated
negative regulation of cytokine-mediated signaling pathway,GO:BP,2.94259373539347e-06,TRUE,10,Up-regulated
regulation of multicellular organismal process,GO:BP,2.96140861171197e-06,TRUE,50,Up-regulated
glycosaminoglycan binding,GO:MF,2.99014650465083e-06,TRUE,16,Up-regulated
response to interferon-alpha,GO:BP,3.20328522497499e-06,TRUE,6,Up-regulated
cellular response to oxygen-containing compound,GO:BP,3.52375052241156e-06,TRUE,36,Up-regulated
organ or tissue specific immune response,GO:BP,4.15015823175327e-06,TRUE,6,Up-regulated
positive regulation of response to cytokine stimulus,GO:BP,4.25491148087561e-06,TRUE,8,Up-regulated
defense response to Gram-negative bacterium,GO:BP,4.28695148908623e-06,TRUE,9,Up-regulated
negative regulation of response to cytokine stimulus,GO:BP,4.28695148908623e-06,TRUE,10,Up-regulated
response to interferon-beta,GO:BP,4.53129157276053e-06,TRUE,7,Up-regulated
positive regulation of immune response,GO:BP,4.66371217374517e-06,TRUE,27,Up-regulated
sulfur compound binding,GO:MF,5.87202145795418e-06,TRUE,15,Up-regulated
positive regulation of response to biotic stimulus,GO:BP,6.60265831973016e-06,TRUE,19,Up-regulated
negative regulation of cell cycle,GO:BP,7.42486191092646e-06,TRUE,18,Up-regulated
regulation of cell cycle,GO:BP,8.52395278155341e-06,TRUE,33,Up-regulated
interferon-beta production,GO:BP,1.01874458958014e-05,TRUE,7,Up-regulated
regulation of interferon-beta production,GO:BP,1.01874458958014e-05,TRUE,7,Up-regulated
negative regulation of immune system process,GO:BP,1.01874458958014e-05,TRUE,20,Up-regulated
innate immune response in mucosa,GO:BP,1.03528052758716e-05,TRUE,5,Up-regulated
cell cycle,GO:BP,1.04046490358947e-05,TRUE,43,Up-regulated
