term_name,source,p_values,significant,intersection_sizes,direction
Fibronectin matrix formation,REAC,0.00358603876899234,TRUE,3,Up-regulated
regulation of hemostasis,GO:BP,0.00364634091097685,TRUE,5,Up-regulated
positive regulation of chromosome segregation,GO:BP,0.00364634091097685,TRUE,4,Up-regulated
chromosome separation,GO:BP,0.00364634091097685,TRUE,6,Up-regulated
export from cell,GO:BP,0.00364634091097685,TRUE,19,Up-regulated
regulation of localization,GO:BP,0.00367394550596497,TRUE,31,Up-regulated
negative regulation of signaling,GO:BP,0.00369181946327948,TRUE,33,Up-regulated
positive regulation of type I interferon-mediated signaling pathway,GO:BP,0.0037443189441663,TRUE,3,Up-regulated
clathrin-dependent endocytosis of virus by host cell,GO:BP,0.0037443189441663,TRUE,1,Up-regulated
osteoblast proliferation,GO:BP,0.00380695956586295,TRUE,4,Up-regulated
regulation of ovulation,GO:BP,0.00381143689169343,TRUE,2,Up-regulated
negative regulation of follicle-stimulating hormone secretion,GO:BP,0.00381143689169343,TRUE,2,Up-regulated
cellular extravasation,GO:BP,0.00391111857663681,TRUE,5,Up-regulated
regulation of DNA endoreduplication,GO:BP,0.0039331188514144,TRUE,2,Up-regulated
negative regulation of leukocyte differentiation,GO:BP,0.0039736933416611,TRUE,6,Up-regulated
CXCR3 chemokine receptor binding,GO:MF,0.00397798969096436,TRUE,2,Up-regulated
response to cadmium ion,GO:BP,0.00398016277037018,TRUE,4,Up-regulated
nuclear chromosome segregation,GO:BP,0.00398016277037018,TRUE,12,Up-regulated
regulation of chemotaxis,GO:BP,0.00402080372987392,TRUE,8,Up-regulated
positive regulation of biosynthetic process,GO:BP,0.00402371097524459,TRUE,45,Up-regulated
leukocyte mediated immunity,GO:BP,0.00402371097524459,TRUE,13,Up-regulated
detection of virus,GO:BP,0.0040543978817841,TRUE,2,Up-regulated
sister chromatid segregation,GO:BP,0.00419433014523987,TRUE,10,Up-regulated
chemokine (C-X-C motif) ligand 2 production,GO:BP,0.00420686037699766,TRUE,2,Up-regulated
regulation of monocyte chemotactic protein-1 production,GO:BP,0.00420686037699766,TRUE,2,Up-regulated
monocyte chemotactic protein-1 production,GO:BP,0.00420686037699766,TRUE,2,Up-regulated
regulation of chemokine (C-X-C motif) ligand 2 production,GO:BP,0.00420686037699766,TRUE,2,Up-regulated
regulation of mitotic sister chromatid segregation,GO:BP,0.00428258362584673,TRUE,5,Up-regulated
positive regulation of mitotic cell cycle,GO:BP,0.00430429600361028,TRUE,7,Up-regulated
positive regulation of myeloid leukocyte mediated immunity,GO:BP,0.00431368700752679,TRUE,3,Up-regulated
positive regulation of chromosome separation,GO:BP,0.00431750274795604,TRUE,4,Up-regulated
cytokinesis,GO:BP,0.00431750274795604,TRUE,9,Up-regulated
positive regulation of transcription regulatory region DNA binding,GO:BP,0.00432781891914437,TRUE,3,Up-regulated
positive regulation of macromolecule biosynthetic process,GO:BP,0.00432781891914437,TRUE,39,Up-regulated
neutrophil activation,GO:BP,0.0043733576574188,TRUE,4,Up-regulated
stress response to metal ion,GO:BP,0.00456398120364936,TRUE,3,Up-regulated
chromosome localization,GO:BP,0.00463284402589663,TRUE,7,Up-regulated
negative regulation of hemopoiesis,GO:BP,0.00470346954387073,TRUE,6,Up-regulated
positive regulation of apoptotic process,GO:BP,0.00477673730856026,TRUE,16,Up-regulated
regulation of coagulation,GO:BP,0.00480891408357747,TRUE,5,Up-regulated
blood circulation,GO:BP,0.00489423866442708,TRUE,14,Up-regulated
regulation of fibroblast proliferation,GO:BP,0.0049394266723347,TRUE,6,Up-regulated
negative regulation of interleukin-8 production,GO:BP,0.0049445937101,TRUE,3,Up-regulated
cellular response to alcohol,GO:BP,0.004987190894156,TRUE,6,Up-regulated
negative regulation of cell division,GO:BP,0.0050062253632663,TRUE,3,Up-regulated
negative regulation of meiotic cell cycle,GO:BP,0.0050062253632663,TRUE,3,Up-regulated
cellular response to type II interferon,GO:BP,0.0050062253632663,TRUE,6,Up-regulated
female gamete generation,GO:BP,0.00519227739056786,TRUE,8,Up-regulated
response to angiotensin,GO:BP,0.00528165031385854,TRUE,4,Up-regulated
negative regulation of macromolecule metabolic process,GO:BP,0.00544948818600492,TRUE,50,Up-regulated
regulation of mitotic metaphase/anaphase transition,GO:BP,0.00549558442919289,TRUE,6,Up-regulated
regulation of lymphocyte chemotaxis,GO:BP,0.00556545405555365,TRUE,3,Up-regulated
host-mediated perturbation of symbiont process,GO:BP,0.0056717578361438,TRUE,6,Up-regulated
cellular response to cholesterol,GO:BP,0.0056717578361438,TRUE,3,Up-regulated
cell chemotaxis,GO:BP,0.00567765050020847,TRUE,9,Up-regulated
regulation of secretion,GO:BP,0.00568291397881305,TRUE,12,Up-regulated
detoxification of inorganic compound,GO:BP,0.00580996982476773,TRUE,3,Up-regulated
regulation of mitotic sister chromatid separation,GO:BP,0.00580996982476773,TRUE,5,Up-regulated
clustering of voltage-gated sodium channels,GO:BP,0.00586106821183947,TRUE,2,Up-regulated
host-mediated perturbation of viral genome replication,GO:BP,0.00589041139925472,TRUE,1,Up-regulated
nucleotidyltransferase activity,GO:MF,0.00592543398438565,TRUE,4,Up-regulated
regulation of cell adhesion,GO:BP,0.00596796919463537,TRUE,18,Up-regulated
type III interferon production,GO:BP,0.00596796919463537,TRUE,2,Up-regulated
regulation of type III interferon production,GO:BP,0.00596796919463537,TRUE,2,Up-regulated
regulation of type B pancreatic cell proliferation,GO:BP,0.00596796919463537,TRUE,3,Up-regulated
positive regulation of extrinsic apoptotic signaling pathway,GO:BP,0.00615685480584099,TRUE,4,Up-regulated
meiotic cell cycle,GO:BP,0.00620082921465128,TRUE,11,Up-regulated
regulation of metaphase/anaphase transition of cell cycle,GO:BP,0.00622298873291963,TRUE,6,Up-regulated
negative regulation of apoptotic process,GO:BP,0.00623953763491925,TRUE,19,Up-regulated
positive regulation of MDA-5 signaling pathway,GO:BP,0.00627415397615639,TRUE,2,Up-regulated
regulation of phosphorylation,GO:BP,0.00627415397615639,TRUE,15,Up-regulated
regulation of immune effector process,GO:BP,0.0063816711596358,TRUE,12,Up-regulated
positive regulation of cell migration,GO:BP,0.00638817523022466,TRUE,12,Up-regulated
negative regulation of cell communication,GO:BP,0.00642608437353613,TRUE,32,Up-regulated
metaphase/anaphase transition of mitotic cell cycle,GO:BP,0.0064509038104934,TRUE,6,Up-regulated
response to toxic substance,GO:BP,0.0064825884628595,TRUE,10,Up-regulated
DNA endoreduplication,GO:BP,0.00653226546738374,TRUE,2,Up-regulated
regulation of cell motility,GO:BP,0.00655600980032348,TRUE,19,Up-regulated
endocytosis,GO:BP,0.0065842666040918,TRUE,15,Up-regulated
positive regulation of glutamate receptor signaling pathway,GO:BP,0.00659510770649317,TRUE,2,Up-regulated
negative regulation of cell activation,GO:BP,0.00662164735767176,TRUE,8,Up-regulated
negative regulation of osteoclast differentiation,GO:BP,0.00662164735767176,TRUE,4,Up-regulated
positive regulation of metabolic process,GO:BP,0.00663401881494148,TRUE,59,Up-regulated
macrophage activation,GO:BP,0.00665358873351852,TRUE,6,Up-regulated
T-helper 2 cell cytokine production,GO:BP,0.00665457784239473,TRUE,2,Up-regulated
mitotic sister chromatid separation,GO:BP,0.00665457784239473,TRUE,5,Up-regulated
negative regulation of nuclear division,GO:BP,0.00665457784239473,TRUE,5,Up-regulated
mitotic metaphase chromosome alignment,GO:BP,0.00665457784239473,TRUE,5,Up-regulated
regulation of T-helper 2 cell cytokine production,GO:BP,0.00665457784239473,TRUE,2,Up-regulated
regulation of catalytic activity,GO:BP,0.00680680041246512,TRUE,16,Up-regulated
granulocyte activation,GO:BP,0.00685826757136839,TRUE,4,Up-regulated
chemokine (C-C motif) ligand 2 signaling pathway,GO:BP,0.0068904190741721,TRUE,1,Up-regulated
mitotic cell cycle checkpoint signaling,GO:BP,0.0068904190741721,TRUE,7,Up-regulated
cellular response to cadmium ion,GO:BP,0.00694464674912489,TRUE,3,Up-regulated
regulation of leukocyte activation,GO:BP,0.00694464674912489,TRUE,12,Up-regulated
regulation of extrinsic apoptotic signaling pathway,GO:BP,0.00715317238186347,TRUE,6,Up-regulated
metaphase/anaphase transition of cell cycle,GO:BP,0.00715421455747946,TRUE,6,Up-regulated
protein phosphorylation,GO:BP,0.00718624809363109,TRUE,19,Up-regulated
G1/S transition of mitotic cell cycle,GO:BP,0.00721971512730903,TRUE,9,Up-regulated
extracellular matrix disassembly,GO:BP,0.00721971512730903,TRUE,3,Up-regulated
protein binding,GO:MF,0.0072678943891921,TRUE,203,Up-regulated
negative regulation of signal transduction,GO:BP,0.00728535215465969,TRUE,30,Up-regulated
cell-cell signaling,GO:BP,0.00733683872420525,TRUE,23,Up-regulated
positive regulation of exocytosis,GO:BP,0.00758573183649232,TRUE,4,Up-regulated
extracellular matrix organization,GO:BP,0.00760408490602667,TRUE,10,Up-regulated
negative regulation of chemokine (C-C motif) ligand 5 production,GO:BP,0.00760408490602667,TRUE,2,Up-regulated
negative regulation of B cell differentiation,GO:BP,0.00768422241570461,TRUE,2,Up-regulated
response to peptide hormone,GO:BP,0.00768422241570461,TRUE,13,Up-regulated
regulation of cell migration,GO:BP,0.00768572613385674,TRUE,18,Up-regulated
Metal sequestration by antimicrobial proteins,REAC,0.00770046457845462,TRUE,3,Up-regulated
extracellular structure organization,GO:BP,0.0077038315262485,TRUE,10,Up-regulated
positive regulation of DNA replication,GO:BP,0.0077038315262485,TRUE,4,Up-regulated
regulation of cytokine production involved in immune response,GO:BP,0.00772573186349973,TRUE,6,Up-regulated
cytokine production involved in immune response,GO:BP,0.00772573186349973,TRUE,6,Up-regulated
response to metal ion,GO:BP,0.00778595957975814,TRUE,11,Up-regulated
regulation of cellular process,GO:BP,0.00778595957975814,TRUE,168,Up-regulated
external encapsulating structure organization,GO:BP,0.00779556412133385,TRUE,10,Up-regulated
negative regulation of macrophage differentiation,GO:BP,0.00794574386092723,TRUE,2,Up-regulated
negative regulation of bone remodeling,GO:BP,0.00816307243203096,TRUE,3,Up-regulated
regulation of secretion by cell,GO:BP,0.00816307243203096,TRUE,11,Up-regulated
negative regulation of osteoclast development,GO:BP,0.00816307243203096,TRUE,2,Up-regulated
phosphorylation,GO:BP,0.00816962344648271,TRUE,20,Up-regulated
carbohydrate derivative binding,GO:MF,0.00830529358875395,TRUE,46,Up-regulated
negative regulation of programmed cell death,GO:BP,0.00834642700295355,TRUE,19,Up-regulated
mitotic cytokinesis,GO:BP,0.00835712737945991,TRUE,6,Up-regulated
positive regulation of apoptotic signaling pathway,GO:BP,0.00835712737945991,TRUE,7,Up-regulated
regulation of leukocyte chemotaxis,GO:BP,0.00839602182453466,TRUE,5,Up-regulated
protein autoprocessing,GO:BP,0.0084304741085257,TRUE,2,Up-regulated
cell surface receptor signaling pathway via JAK-STAT,GO:BP,0.00847067754417015,TRUE,6,Up-regulated
regulation of chemokine (C-X-C motif) ligand 9 production,GO:BP,0.00854261207216101,TRUE,1,Up-regulated
chemokine (C-X-C motif) ligand 9 production,GO:BP,0.00854261207216101,TRUE,1,Up-regulated
negative regulation of chemokine (C-X-C motif) ligand 9 production,GO:BP,0.00854261207216101,TRUE,1,Up-regulated
positive regulation of interferon-alpha production,GO:BP,0.00854788542377147,TRUE,3,Up-regulated
single-stranded RNA binding,GO:MF,0.00857039117417068,TRUE,6,Up-regulated
import into cell,GO:BP,0.00858139054113921,TRUE,18,Up-regulated
negative regulation of endocytosis,GO:BP,0.00858139054113921,TRUE,4,Up-regulated
negative regulation of type I interferon production,GO:BP,0.00858289019668735,TRUE,4,Up-regulated
G0 and Early G1,REAC,0.00858435858089651,TRUE,5,Up-regulated
extrinsic apoptotic signaling pathway,GO:BP,0.00877781502228035,TRUE,7,Up-regulated
metaphase chromosome alignment,GO:BP,0.00885490910227291,TRUE,6,Up-regulated
RNA helicase activity,GO:MF,0.00888159203035137,TRUE,6,Up-regulated
regulation of cytoplasmic pattern recognition receptor signaling pathway,GO:BP,0.0089043603549992,TRUE,4,Up-regulated
enzyme-linked receptor protein signaling pathway,GO:BP,0.00890634548495663,TRUE,23,Up-regulated
regulation of RIG-I signaling pathway,GO:BP,0.00890634548495663,TRUE,2,Up-regulated
regulation of receptor signaling pathway via STAT,GO:BP,0.0091128538888242,TRUE,5,Up-regulated
production of molecular mediator of immune response,GO:BP,0.00918229561397435,TRUE,8,Up-regulated
regulation of multicellular organismal development,GO:BP,0.00934826909134197,TRUE,21,Up-regulated
ATP-dependent activity, acting on RNA,GO:MF,0.00944347336400146,TRUE,6,Up-regulated
peptidase activity,GO:MF,0.00944347336400146,TRUE,7,Up-regulated
peptidase activity,GO:MF,0.0216617151285061,TRUE,5,Down-regulated
intracellular transport of viral protein in host cell,GO:BP,0.00952948402366207,TRUE,1,Up-regulated
regulation of natural killer cell chemotaxis,GO:BP,0.00952948402366207,TRUE,2,Up-regulated
negative regulation of helicase activity,GO:BP,0.00952948402366207,TRUE,1,Up-regulated
symbiont intracellular protein transport in host,GO:BP,0.00952948402366207,TRUE,1,Up-regulated
regulation of myeloid dendritic cell activation,GO:BP,0.00955193169874933,TRUE,2,Up-regulated
female gonad development,GO:BP,0.00961581560436799,TRUE,6,Up-regulated
negative regulation of metabolic process,GO:BP,0.00970560481078019,TRUE,51,Up-regulated
G1/S-Specific Transcription,REAC,0.00970573684837872,TRUE,5,Up-regulated
clearance of foreign intracellular nucleic acids,GO:BP,0.00975803417468755,TRUE,2,Up-regulated
clearance of foreign intracellular DNA,GO:BP,0.00975803417468755,TRUE,2,Up-regulated
positive regulation of macromolecule metabolic process,GO:BP,0.00977921154457005,TRUE,44,Up-regulated
regulation of sterol transport,GO:BP,0.00984351523115934,TRUE,4,Up-regulated
regulation of cholesterol transport,GO:BP,0.00984351523115934,TRUE,4,Up-regulated
Respiratory Syncytial Virus Infection Pathway,REAC,0.0100578690192427,TRUE,8,Up-regulated
positive regulation of cell population proliferation,GO:BP,0.0101185998106544,TRUE,20,Up-regulated
MAPK cascade,GO:BP,0.0101185998106544,TRUE,17,Up-regulated
medium-chain fatty acid biosynthetic process,GO:BP,0.0101185998106544,TRUE,1,Up-regulated
cellular response to sterol,GO:BP,0.0101185998106544,TRUE,3,Up-regulated
cytokine receptor binding,GO:MF,0.0101804516832318,TRUE,6,Up-regulated
fatty acyl-[ACP] hydrolase activity,GO:MF,0.0102356387321517,TRUE,1,Up-regulated
Interleukin-10 signaling,REAC,0.0103417452920825,TRUE,6,Up-regulated
regulation of vesicle-mediated transport,GO:BP,0.0104799301582186,TRUE,9,Up-regulated
regulation of glutamate receptor signaling pathway,GO:BP,0.0106009932725234,TRUE,2,Up-regulated
mononuclear cell migration,GO:BP,0.0108065830794943,TRUE,7,Up-regulated
negative regulation of molecular function,GO:BP,0.0110434812367865,TRUE,10,Up-regulated
positive regulation of chemotaxis,GO:BP,0.0111195100899113,TRUE,6,Up-regulated
response to yeast,GO:BP,0.0111222469343729,TRUE,2,Up-regulated
regulation of protein phosphorylation,GO:BP,0.0111990138892545,TRUE,12,Up-regulated
development of primary female sexual characteristics,GO:BP,0.0112130750875531,TRUE,6,Up-regulated
regulation of interleukin-1 production,GO:BP,0.0114451620462314,TRUE,6,Up-regulated
interleukin-1 production,GO:BP,0.0114451620462314,TRUE,6,Up-regulated
regulation of endocytosis,GO:BP,0.0114967374458417,TRUE,8,Up-regulated
cell division,GO:BP,0.0114967374458417,TRUE,17,Up-regulated
negative regulation of natural killer cell chemotaxis,GO:BP,0.0114967374458417,TRUE,1,Up-regulated
positive regulation of mitotic sister chromatid separation,GO:BP,0.01174916330625,TRUE,3,Up-regulated
CD4-positive, alpha-beta T cell cytokine production,GO:BP,0.0118006252053023,TRUE,2,Up-regulated
acute-phase response,GO:BP,0.0118008865727742,TRUE,4,Up-regulated
regulation of cell activation,GO:BP,0.0118008865727742,TRUE,14,Up-regulated
host-mediated suppression of symbiont invasion,GO:BP,0.0118008865727742,TRUE,3,Up-regulated
cellular response to hormone stimulus,GO:BP,0.0118419079600818,TRUE,18,Up-regulated
tissue remodeling,GO:BP,0.0118669827445632,TRUE,8,Up-regulated
gland development,GO:BP,0.0119177233090396,TRUE,12,Up-regulated
viral RNA genome replication,GO:BP,0.0119802132614037,TRUE,3,Up-regulated
positive regulation of gonadotropin secretion,GO:BP,0.0120666200758642,TRUE,2,Up-regulated
angiogenesis,GO:BP,0.0120666200758642,TRUE,14,Up-regulated
regulation of follicle-stimulating hormone secretion,GO:BP,0.0120666200758642,TRUE,2,Up-regulated
regulation of hemopoiesis,GO:BP,0.0120666200758642,TRUE,11,Up-regulated
positive regulation of follicle-stimulating hormone secretion,GO:BP,0.0120666200758642,TRUE,2,Up-regulated
negative regulation of BMP signaling pathway,GO:BP,0.0121617617368514,TRUE,4,Up-regulated
type II interferon-mediated signaling pathway,GO:BP,0.0125810979347337,TRUE,3,Up-regulated
positive regulation of reproductive process,GO:BP,0.0126791071245486,TRUE,5,Up-regulated
negative regulation of leukocyte activation,GO:BP,0.0129600914074252,TRUE,7,Up-regulated
cell differentiation involved in embryonic placenta development,GO:BP,0.0130066237353394,TRUE,3,Up-regulated
positive regulation of production of molecular mediator of immune response,GO:BP,0.0131152598036399,TRUE,6,Up-regulated
mitotic sister chromatid segregation,GO:BP,0.0131152598036399,TRUE,8,Up-regulated
dUDP biosynthetic process,GO:BP,0.0131689469787964,TRUE,1,Up-regulated
pyrimidine deoxyribonucleoside diphosphate metabolic process,GO:BP,0.0131689469787964,TRUE,1,Up-regulated
pyrimidine deoxyribonucleoside diphosphate biosynthetic process,GO:BP,0.0131689469787964,TRUE,1,Up-regulated
dUDP metabolic process,GO:BP,0.0131689469787964,TRUE,1,Up-regulated
dTDP metabolic process,GO:BP,0.0131689469787964,TRUE,1,Up-regulated
dTDP biosynthetic process,GO:BP,0.0131689469787964,TRUE,1,Up-regulated
astrocyte cell migration,GO:BP,0.013220450533127,TRUE,2,Up-regulated
cell cycle G1/S phase transition,GO:BP,0.0133376653483805,TRUE,9,Up-regulated
natural killer cell chemotaxis,GO:BP,0.0134146940190709,TRUE,2,Up-regulated
regulation of protein export from nucleus,GO:BP,0.0134275199071237,TRUE,1,Up-regulated
negative regulation of protein metabolic process,GO:BP,0.0134275199071237,TRUE,13,Up-regulated
exocytosis,GO:BP,0.0134275199071237,TRUE,7,Up-regulated
cellular response to endogenous stimulus,GO:BP,0.0136081342934193,TRUE,24,Up-regulated
DNA replication origin binding,GO:MF,0.0137187745766706,TRUE,3,Up-regulated
signaling receptor regulator activity,GO:MF,0.0137187745766706,TRUE,12,Up-regulated
podocyte cell migration,GO:BP,0.0138648919055809,TRUE,2,Up-regulated
membrane organization,GO:BP,0.0139776688941665,TRUE,19,Up-regulated
CCR2 chemokine receptor binding,GO:MF,0.0141458661089058,TRUE,2,Up-regulated
circulatory system process,GO:BP,0.0141487484797491,TRUE,14,Up-regulated
spindle assembly checkpoint signaling,GO:BP,0.0143035983128175,TRUE,4,Up-regulated
mitotic spindle checkpoint signaling,GO:BP,0.0143035983128175,TRUE,4,Up-regulated
negative regulation of granulocyte differentiation,GO:BP,0.0143035983128175,TRUE,2,Up-regulated
mitotic spindle assembly checkpoint signaling,GO:BP,0.0143035983128175,TRUE,4,Up-regulated
regulation of production of molecular mediator of immune response,GO:BP,0.0143035983128175,TRUE,7,Up-regulated
regulation of protein modification process,GO:BP,0.0144686271638903,TRUE,15,Up-regulated
neutrophil migration,GO:BP,0.0145885750572006,TRUE,4,Up-regulated
regulation of heterotypic cell-cell adhesion,GO:BP,0.0146103508844708,TRUE,3,Up-regulated
localization,GO:BP,0.0146103508844708,TRUE,82,Up-regulated
symbiont entry into host cell,GO:BP,0.0146616492949272,TRUE,5,Up-regulated
regulation of nitric oxide biosynthetic process,GO:BP,0.0148576465280276,TRUE,4,Up-regulated
T cell migration,GO:BP,0.0148847516605895,TRUE,3,Up-regulated
negative regulation of tissue remodeling,GO:BP,0.0149117447726126,TRUE,3,Up-regulated
negative regulation of response to type II interferon,GO:BP,0.0149407116422739,TRUE,2,Up-regulated
regulation of DNA replication,GO:BP,0.0149407116422739,TRUE,6,Up-regulated
negative regulation of meiotic cell cycle phase transition,GO:BP,0.0149407116422739,TRUE,2,Up-regulated
negative regulation of type II interferon-mediated signaling pathway,GO:BP,0.0149407116422739,TRUE,2,Up-regulated
spindle checkpoint signaling,GO:BP,0.0149944349546062,TRUE,4,Up-regulated
DNA replication,GO:BP,0.0149944349546062,TRUE,10,Up-regulated
regulation of MDA-5 signaling pathway,GO:BP,0.0150474264724441,TRUE,2,Up-regulated
leukocyte cell-cell adhesion,GO:BP,0.0150474264724441,TRUE,12,Up-regulated
meiotic nuclear division,GO:BP,0.0150474264724441,TRUE,8,Up-regulated
helper T cell extravasation,GO:BP,0.0151835164071327,TRUE,1,Up-regulated
positive regulation of toll-like receptor 7 signaling pathway,GO:BP,0.0151835164071327,TRUE,1,Up-regulated
negative regulation of lymphocyte chemotaxis,GO:BP,0.0151835164071327,TRUE,1,Up-regulated
negative regulation of response to stimulus,GO:BP,0.0153207703513781,TRUE,34,Up-regulated
regulation of nitric oxide metabolic process,GO:BP,0.0154016956139364,TRUE,4,Up-regulated
regulation of tissue remodeling,GO:BP,0.0155421641001255,TRUE,5,Up-regulated
negative regulation of sister chromatid segregation,GO:BP,0.0156131523095371,TRUE,4,Up-regulated
reproductive process,GO:BP,0.0156131523095371,TRUE,31,Up-regulated
negative regulation of mitotic sister chromatid separation,GO:BP,0.0156131523095371,TRUE,4,Up-regulated
negative regulation of mitotic sister chromatid segregation,GO:BP,0.0156131523095371,TRUE,4,Up-regulated
protein processing,GO:BP,0.0156131523095371,TRUE,6,Up-regulated
negative regulation of membrane protein ectodomain proteolysis,GO:BP,0.0156131523095371,TRUE,2,Up-regulated
negative regulation of cytokinesis,GO:BP,0.0156131523095371,TRUE,2,Up-regulated
chorionic trophoblast cell differentiation,GO:BP,0.0156131523095371,TRUE,2,Up-regulated
negative regulation of mitotic metaphase/anaphase transition,GO:BP,0.0156131523095371,TRUE,4,Up-regulated
2'-deoxyribonucleotide biosynthetic process,GO:BP,0.0157679350128884,TRUE,2,Up-regulated
deoxyribose phosphate biosynthetic process,GO:BP,0.0157679350128884,TRUE,2,Up-regulated
deoxyribonucleotide biosynthetic process,GO:BP,0.0157679350128884,TRUE,2,Up-regulated
sexual reproduction,GO:BP,0.0157686541404759,TRUE,23,Up-regulated
response to copper ion,GO:BP,0.0157686541404759,TRUE,3,Up-regulated
response to cholesterol,GO:BP,0.0157686541404759,TRUE,3,Up-regulated
intracellular zinc ion homeostasis,GO:BP,0.0157686541404759,TRUE,3,Up-regulated
regulation of ATP-dependent activity,GO:BP,0.0160160990129071,TRUE,3,Up-regulated
regulation of leukocyte migration,GO:BP,0.0160176909744172,TRUE,7,Up-regulated
regulation of membrane repolarization during action potential,GO:BP,0.0160562207656613,TRUE,2,Up-regulated
symbiont entry into host,GO:BP,0.0160562207656613,TRUE,5,Up-regulated
neuronal ion channel clustering,GO:BP,0.0162009187491792,TRUE,2,Up-regulated
positive regulation of G2/M transition of mitotic cell cycle,GO:BP,0.0162009187491792,TRUE,3,Up-regulated
cargo receptor activity,GO:MF,0.0164202235020773,TRUE,5,Up-regulated
lamin binding,GO:MF,0.0164202235020773,TRUE,1,Up-regulated
ISG15-specific peptidase activity,GO:MF,0.0164202235020773,TRUE,1,Up-regulated
immunoglobulin receptor binding,GO:MF,0.0164202235020773,TRUE,3,Up-regulated
regulation of glial cell differentiation,GO:BP,0.0164848648831489,TRUE,4,Up-regulated
attachment of mitotic spindle microtubules to kinetochore,GO:BP,0.016564189142234,TRUE,3,Up-regulated
receptor-mediated endocytosis of virus by host cell,GO:BP,0.0166158060106098,TRUE,2,Up-regulated
positive regulation of transport,GO:BP,0.0166365542481676,TRUE,15,Up-regulated
negative regulation of tumor necrosis factor superfamily cytokine production,GO:BP,0.0166365542481676,TRUE,4,Up-regulated
positive regulation of toll-like receptor 9 signaling pathway,GO:BP,0.0166365542481676,TRUE,1,Up-regulated
negative regulation of reproductive process,GO:BP,0.0166365542481676,TRUE,4,Up-regulated
regulation of protein metabolic process,GO:BP,0.0166365542481676,TRUE,28,Up-regulated
regulation of toll-like receptor 7 signaling pathway,GO:BP,0.0166365542481676,TRUE,1,Up-regulated
negative regulation of interleukin-1-mediated signaling pathway,GO:BP,0.0166673133980997,TRUE,2,Up-regulated
regulation of transcription regulatory region DNA binding,GO:BP,0.0166726326299712,TRUE,3,Up-regulated
negative regulation of macromolecule biosynthetic process,GO:BP,0.0167276544254428,TRUE,43,Up-regulated
response to alcohol,GO:BP,0.0167276544254428,TRUE,9,Up-regulated
regulation of MAPK cascade,GO:BP,0.0167716591157573,TRUE,13,Up-regulated
PKR/eIFalpha signaling,GO:BP,0.0167716591157573,TRUE,1,Up-regulated
negative regulation of osteoblast proliferation,GO:BP,0.0167716591157573,TRUE,2,Up-regulated
regulation of cell development,GO:BP,0.0168756286001633,TRUE,16,Up-regulated
regulation of attachment of mitotic spindle microtubules to kinetochore,GO:BP,0.0168756286001633,TRUE,2,Up-regulated
negative regulation of metaphase/anaphase transition of cell cycle,GO:BP,0.0168756286001633,TRUE,4,Up-regulated
negative regulation of chromosome segregation,GO:BP,0.0168756286001633,TRUE,4,Up-regulated
nucleoside diphosphate metabolic process,GO:BP,0.0168756286001633,TRUE,5,Up-regulated
neutrophil extravasation,GO:BP,0.0168756286001633,TRUE,2,Up-regulated
negative regulation of chromosome separation,GO:BP,0.0168756286001633,TRUE,4,Up-regulated
cytokinetic process,GO:BP,0.0168795680490373,TRUE,4,Up-regulated
regulation of osteoblast differentiation,GO:BP,0.016923211362173,TRUE,6,Up-regulated
phospholipid translocation,GO:BP,0.0170377259270502,TRUE,4,Up-regulated
positive regulation of cholesterol transport,GO:BP,0.0170640845788158,TRUE,3,Up-regulated
positive regulation of sterol transport,GO:BP,0.0170640845788158,TRUE,3,Up-regulated
negative regulation of transport,GO:BP,0.0173105902037938,TRUE,11,Up-regulated
fibrinolysis,GO:BP,0.0173105902037938,TRUE,2,Up-regulated
positive regulation of leukocyte migration,GO:BP,0.0173105902037938,TRUE,5,Up-regulated
DNA cytosine deamination,GO:BP,0.0175432761551587,TRUE,2,Up-regulated
intracellular monoatomic ion homeostasis,GO:BP,0.0176892079785156,TRUE,10,Up-regulated
attachment of spindle microtubules to kinetochore,GO:BP,0.017711694747533,TRUE,4,Up-regulated
positive regulation of DNA binding,GO:BP,0.0177117913558993,TRUE,3,Up-regulated
negative regulation of leukocyte chemotaxis,GO:BP,0.0177280423341215,TRUE,2,Up-regulated
spindle organization,GO:BP,0.0177280423341215,TRUE,8,Up-regulated
lipid transporter activity,GO:MF,0.0178409729219737,TRUE,8,Up-regulated
synapse pruning,GO:BP,0.0178563260692033,TRUE,2,Up-regulated
endolysosomal toll-like receptor signaling pathway,GO:BP,0.0178563260692033,TRUE,2,Up-regulated
signal release,GO:BP,0.017888520319526,TRUE,13,Up-regulated
follicle-stimulating hormone secretion,GO:BP,0.0178939135584672,TRUE,2,Up-regulated
negative regulation of gonadotropin secretion,GO:BP,0.0178939135584672,TRUE,2,Up-regulated
regulation of leukocyte differentiation,GO:BP,0.0178939135584672,TRUE,9,Up-regulated
response to stilbenoid,GO:BP,0.0178940976336766,TRUE,1,Up-regulated
cellular response to tumor necrosis factor,GO:BP,0.0182479811714457,TRUE,8,Up-regulated
Chemokine receptors bind chemokines,REAC,0.0183219325107166,TRUE,5,Up-regulated
negative regulation of protein binding,GO:BP,0.0183509840490484,TRUE,3,Up-regulated
positive regulation of leukocyte chemotaxis,GO:BP,0.0186561048495988,TRUE,4,Up-regulated
medium-chain fatty acid metabolic process,GO:BP,0.0188747655997714,TRUE,1,Up-regulated
