gene_name,log2FoldChange,lfcSE,padj,pvalue,expression
MX1,1.98602947755859,0.178064175649126,9.43392198961203e-24,1.56594057370912e-26,Up-regulated
OAS3,2.27831111279212,0.202076446394335,1.16963690245986e-23,2.00311953048139e-26,Up-regulated
ZCCHC2,1.23757737095701,0.11449398693529,1.17622478407361e-23,2.04539273196127e-26,Up-regulated
LAP3,1.12188920383399,0.105803473577575,8.84290573335841e-23,1.7474256468406e-25,Up-regulated
TRIM6,1.68254870270285,0.156617295316565,9.12195092266043e-23,1.82660133351476e-25,Up-regulated
FBXO39,2.15711255536297,0.199107065580861,1.56418199473886e-22,3.29700583809635e-25,Up-regulated
PARP12,1.04560023116472,0.100438782691868,2.92968216441302e-22,6.48398856011735e-25,Up-regulated
DLGAP1,1.52314618689205,0.147162267641109,3.43476082774029e-22,7.87332539425107e-25,Up-regulated
IRF7,1.28036769374498,0.122738019410074,3.99077490447081e-22,9.25299551018156e-25,Up-regulated
APOBEC3B,1.20441624998683,0.115330368508178,5.53730671972909e-22,1.32764639167241e-24,Up-regulated
MX2,1.04944312694007,0.103082598015347,2.6707807213447e-21,6.96651977164794e-24,Up-regulated
IL1RN,1.05385952978509,0.103776215945773,3.81085774995458e-21,1.01411348670868e-23,Up-regulated
AIM2,1.04789342621529,0.10421552963001,5.88469772941137e-21,1.5969960113015e-23,Up-regulated
GBP1,1.10655840469281,0.10954172598744,6.26347429594725e-21,1.71629163402675e-23,Up-regulated
BCL2L14,1.72513622177115,0.171356898218849,7.36435943449112e-21,2.03735506302779e-23,Up-regulated
SMTNL1,1.75343058489315,0.173343819727082,8.56429197406866e-21,2.41444707073127e-23,Up-regulated
TTK,1.20898589983008,0.121211733167585,1.01969377908367e-20,2.90158950679866e-23,Up-regulated
IFI35,1.08403339254851,0.108398138691262,1.13358938423177e-20,3.25555258684889e-23,Up-regulated
LAMP3,1.65969754900599,0.163501362211074,1.29387783258024e-20,3.74997527490715e-23,Up-regulated
ADAMTS2,3.92041991943261,0.346545469926266,1.55059872096683e-20,4.57572473911273e-23,Up-regulated
TOP2A,1.16842529894688,0.117150588154777,1.89617712199957e-20,5.69542582884416e-23,Up-regulated
ASPM,1.23535830197857,0.124314027197796,2.06149782354122e-20,6.24630472960005e-23,Up-regulated
GPR42,1.47341296142161,0.14778793316038,3.60187754726198e-20,1.11983335241849e-22,Up-regulated
LGALS3BP,1.38998670977066,0.13988072908651,4.73243774645441e-20,1.48379641626199e-22,Up-regulated
FFAR3,1.49450615868982,0.150200629843057,6.83481578174332e-20,2.21500327015447e-22,Up-regulated
DLGAP5,1.37608605672942,0.140316390503776,8.26695015557152e-20,2.70090588420422e-22,Up-regulated
EPHB2,1.44690974592602,0.14577340061218,1.10150849410764e-19,3.68581911660618e-22,Up-regulated
BCL2A1,1.13036471039581,0.115596324143654,1.10150849410764e-19,3.67851187668026e-22,Up-regulated
DHX58,1.08696066231358,0.113648503664248,1.89182322058877e-19,6.62940634289684e-22,Up-regulated
FAP,1.98375702804587,0.208264931170761,2.78147241161886e-19,9.96680845181441e-22,Up-regulated
CDK1,1.3508581629464,0.140280690388017,2.86736608035591e-19,1.0350138404615e-21,Up-regulated
