ID,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_name,transcript_biotype
ENSG00000186092,0.461682631977546,0.0523287130228723,0.194815862086347,0.12826130575366,0.241015427199446,OR4F5,protein_coding
ENSG00000187634,89.8515833771199,-0.0999590514800932,0.058856227510817,0.0623962719382532,0.13655008390385,SAMD11,protein_coding
ENSG00000188976,779.641652584838,-0.181732482204875,0.0388517582870228,1.46362463774072e-06,1.45610509831746e-05,NOC2L,protein_coding
ENSG00000187961,211.560595546385,-0.162679583563573,0.0561821778468309,0.00221515028757176,0.00863801644040877,KLHL17,protein_coding
ENSG00000187583,21.1009890300401,0.2986867207569,0.0992339124508539,0.0006998028073586,0.00319503377246341,PLEKHN1,protein_coding
ENSG00000187642,6.13998351746187,0.48113917183845,0.133483314537254,3.93630244938982e-05,0.000264141483670688,PERM1,protein_coding
ENSG00000188290,118.461743531906,1.77100611173514,0.191994324940587,2.30321688381672e-19,4.18259778030525e-17,HES4,protein_coding
ENSG00000187608,8496.78961993856,2.52154457782164,0.211423642675404,3.97937716649763e-29,4.08198056695273e-26,ISG15,protein_coding
ENSG00000188157,438.83584315301,1.33191804852047,0.151779290827453,1.59955277280664e-18,2.51906331697524e-16,AGRN,protein_coding
ENSG00000237330,0.28714651326807,-0.0416920498726851,0.186016740318803,0.370240503852181,NA,RNF223,protein_coding
ENSG00000131591,210.324738890093,-0.239942412561611,0.0569433514052596,8.73068436537113e-06,7.03235132434838e-05,C1orf159,protein_coding
ENSG00000162571,2.97634047176662,-0.0801280625395328,0.131739702577273,0.398891072414979,0.556301936434188,TTLL10,protein_coding
ENSG00000186891,93.8399894398762,0.00302027961771596,0.0883216031501952,0.970412610080509,0.986765979986487,TNFRSF18,protein_coding
ENSG00000186827,133.762917797851,0.314016553969802,0.107950296258975,0.000869735275742635,0.003850902083007,TNFRSF4,protein_coding
ENSG00000078808,1859.06821817871,-0.0400594039341596,0.0336336723963065,0.224895146396387,0.368600008046313,SDF4,protein_coding
ENSG00000176022,317.866223881163,-0.184048951909214,0.0442856304871521,1.43846207763967e-05,0.000108929348951987,B3GALT6,protein_coding
ENSG00000184163,13.0631768783045,0.238496684794491,0.130308221814617,0.0214931940109166,0.0576666679973371,C1QTNF12,protein_coding
ENSG00000160087,888.173947591747,0.00282371189903602,0.0322093619348969,0.946477097856396,0.971668698188846,UBE2J2,protein_coding
ENSG00000162572,84.4678196117385,-0.247417527755098,0.0676489421580293,8.42558724484288e-05,0.000511901293886292,SCNN1D,protein_coding
ENSG00000131584,1057.18290584175,-0.116421706297899,0.0458352480706019,0.00838639345000421,0.0263687496480374,ACAP3,protein_coding
ENSG00000169972,153.71244612457,-0.12002574866527,0.0435605380202571,0.00453212225746003,0.0157896243950466,PUSL1,protein_coding
ENSG00000127054,1516.06672103266,-0.151803828566195,0.0285058688355632,6.0040837725746e-08,8.78823738929025e-07,INTS11,protein_coding
ENSG00000224051,350.607486920038,-0.0726697260409351,0.0516893682623938,0.141543926668023,0.260253763819308,CPTP,protein_coding
ENSG00000169962,51.2706287282872,-0.029448581079219,0.071764262717118,0.667287114344803,0.783341534064602,TAS1R3,protein_coding
ENSG00000107404,514.611365951435,-0.175085715390169,0.0444942925107122,2.68996972315426e-05,0.000189486100357455,DVL1,protein_coding
ENSG00000162576,81.7939967554011,-0.34341717244615,0.0789228372963978,2.39437730896184e-06,2.26285349562594e-05,MXRA8,protein_coding
ENSG00000175756,944.122980224124,0.0866885739519852,0.0523971329271144,0.0848491883480828,0.17427537998184,AURKAIP1,protein_coding
ENSG00000221978,3175.8613818779,-0.154407815860764,0.0272079417743674,8.00994362473693e-09,1.51023050339427e-07,CCNL2,protein_coding
ENSG00000242485,690.094726691175,-0.0403125619310057,0.034492677473596,0.233368251587605,0.37892015489865,MRPL20,protein_coding
ENSG00000235098,1.56010889267495,-0.505232570367047,0.243605630294131,0.00283914057677724,0.0106478993528659,ANKRD65,protein_coding
ENSG00000205116,0.0292763176581259,0.00347858720833089,0.185699818379428,0.959845739427408,NA,TMEM88B,protein_coding
ENSG00000179403,0.633547701129677,-0.0131860494074455,0.163394243398672,1,1,VWA1,protein_coding
ENSG00000215915,38.6311532152273,-0.102139616360426,0.0697314858418158,0.111618401550299,0.21650558657127,ATAD3C,protein_coding
ENSG00000160072,512.368119738595,-0.132855558470578,0.0489504419727186,0.0042364007389958,0.0149392833517743,ATAD3B,protein_coding
ENSG00000197785,240.107964891541,-0.141616297985864,0.0476507582818123,0.0019049053751733,0.00757531209234361,ATAD3A,protein_coding
ENSG00000205090,6.85263283283783,0.204515277201151,0.130993269948216,0.0450484139621706,0.105235889919383,TMEM240,protein_coding
ENSG00000160075,1981.28754131652,0.00452293867651835,0.0315343485927461,0.88488401250731,0.931995589508306,SSU72,protein_coding
ENSG00000228594,61.3635702028755,-0.0594008003360434,0.0754325737528275,0.374219701572748,0.532038873460329,FNDC10,protein_coding
ENSG00000197530,1101.2286910185,-0.286347026994369,0.0621400806803075,1.03658054091322e-06,1.07610442696445e-05,MIB2,protein_coding
ENSG00000189409,29.3024318456089,-0.327019588278138,0.128454222901276,0.00203685867418848,0.00803105486392576,MMP23B,protein_coding
ENSG00000248333,1313.60109382196,0.0105872922748134,0.0381973735712388,0.777736815887491,0.861016337840733,CDK11B,protein_coding
ENSG00000189339,2472.04226564514,-0.0696358054613032,0.0324080632087847,0.0286141125243352,0.0730637800557467,SLC35E2B,protein_coding
ENSG00000008128,1135.41335750974,-0.0156431944826103,0.046512510152379,0.72739383469551,0.825819422910717,CDK11A,protein_coding
ENSG00000008130,10401.9604942724,0.444283833102242,0.075186338390474,8.77944749408588e-10,2.09965438053267e-08,NADK,protein_coding
ENSG00000078369,6635.4256654067,0.045075897732686,0.0406194530733782,0.256232241478713,0.405897513841692,GNB1,protein_coding
ENSG00000169885,6.35494911229963,-0.460398564647773,0.126972890272052,3.06695228692707e-05,0.000212686108346483,CALML6,protein_coding
ENSG00000178821,0.752420742843642,0.178318506789196,0.218168306602504,0.112631599302357,0.218047422592281,TMEM52,protein_coding
ENSG00000142609,0.936666787510343,-0.0461125808731806,0.153297737168628,0.61217009771517,0.740533020763231,CFAP74,protein_coding
ENSG00000187730,1.84936075734908,-0.359729371189223,0.297271765714617,0.0198708019508553,0.0541390362914774,GABRD,protein_coding
ENSG00000067606,401.853376094004,0.013870437686872,0.0543374597489313,0.79049001407138,0.869353481326682,PRKCZ,protein_coding
ENSG00000162585,585.027434357055,-0.0892666664584628,0.0424862002701089,0.0301661637868287,0.0761963649917008,FAAP20,protein_coding
