ID,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_name,transcript_biotype
ENSG00000223972,46.1437034457593,-0.295593124335339,0.120839135877175,0.00324638284686374,0.0119113240598992,DDX11L1,transcribed_unprocessed_pseudogene
ENSG00000278267,3.89589622109295,-0.186504059062091,0.108729405801981,0.039880426846865,0.095478566867212,MIR6859-1,miRNA
ENSG00000227232,274.796042379367,-0.00303109115297062,0.0457977408509492,0.967347328160573,0.984968490758052,WASH7P,transcribed_unprocessed_pseudogene
ENSG00000284332,0.0790991093104507,-0.000808168715006331,0.184025121022021,0.958602993882307,NA,MIR1302-2,miRNA
ENSG00000243485,1.37473291691023,-0.0877701404697068,0.148868652214651,0.370891182232436,0.52874596891597,MIR1302-2HG,lncRNA
ENSG00000237613,0.415912346262929,0.81384703637139,0.531024813694934,0.00888787547757992,0.0277113633349272,FAM138A,lncRNA
ENSG00000268020,0.141027212723691,0.0106249051474273,0.18533731496247,0.718844626662222,NA,OR4G4P,transcribed_unprocessed_pseudogene
ENSG00000240361,0.318067871433628,0.0436152154439343,0.19266285457525,0.128184202784541,NA,OR4G11P,transcribed_unprocessed_pseudogene
ENSG00000186092,0.461682631977546,0.0523287130228723,0.194815862086347,0.12826130575366,0.241015427199446,OR4F5,protein_coding
ENSG00000239945,10.5939768711733,-0.0112638795342896,0.109419483768685,0.894292678399936,0.938432314514814,,lncRNA
ENSG00000233750,62.7480107618115,0.136485456707033,0.11192775600627,0.135838852772027,0.251993709255193,CICP27,processed_pseudogene
ENSG00000268903,255.341151719481,0.0571302955502714,0.105662051650053,0.514437025934353,0.660476069569992,,transcribed_processed_pseudogene
ENSG00000269981,164.393591350546,0.615026487497307,0.133509489187396,6.34987628557148e-07,7.042758753436e-06,,transcribed_processed_pseudogene
ENSG00000239906,105.295853315522,0.253547189110209,0.115469862987883,0.0090248699046395,0.0281015597965943,,lncRNA
ENSG00000222623,1.16979911181029,0.0287631557216222,0.173892718179325,0.717532317712842,0.819118163638018,RNU6-1100P,snRNA
ENSG00000241599,13.0553399334559,0.386792840560927,0.15257389081398,0.00162087875386125,0.00659552739178156,,lncRNA
ENSG00000241860,115.57665498274,0.396007209799147,0.112850736384041,8.55697612266132e-05,0.000518804267986402,,lncRNA
ENSG00000279928,9.18809545337599,-0.213468860054339,0.145699324640639,0.047690849204344,0.110241701120755,DDX11L17,transcribed_unprocessed_pseudogene
ENSG00000273874,9.61373209218002,-0.0370583200794804,0.0696161800527694,0.565256791086992,0.702292781301413,MIR6859-2,miRNA
ENSG00000279457,362.517524183003,-0.033511511044471,0.0421263297744985,0.413049813828807,0.570566772239719,WASH9P,transcribed_unprocessed_pseudogene
ENSG00000228463,80.6177887611389,0.178664674061158,0.0907793303391403,0.0273587477846235,0.0704553432931561,,transcribed_processed_pseudogene
ENSG00000236679,1.14572192576336,0.0875154454475949,0.163880698377046,0.359795901121912,0.517672907660679,RPL23AP24,transcribed_processed_pseudogene
ENSG00000236601,0.0853653841586494,-0.0028824473802605,0.185050838203821,1,NA,,lncRNA
ENSG00000233653,7.74811604211169,0.0797892504671568,0.121278793388008,0.396076441779978,0.55369006524189,CICP7,transcribed_processed_pseudogene
ENSG00000250575,651.653249802471,0.225219632204345,0.101718060552431,0.0106100724666274,0.0322129981920147,,unprocessed_pseudogene
ENSG00000237094,183.14481756071,0.175317067684339,0.103187016569265,0.0458076059683942,0.106687645859379,,transcribed_unprocessed_pseudogene
ENSG00000278757,1.32585482875338,0.346180416001582,0.390071888378911,0.0334707363707699,0.0830434141399128,,snRNA
ENSG00000235146,0.087902884373193,0.00199452585911866,0.184449499536523,1,NA,,lncRNA
ENSG00000225972,2172.14177229744,-0.0509838092813514,0.121543697014831,0.578509998650974,0.713206278464207,MTND1P23,unprocessed_pseudogene
ENSG00000225630,6581.9978539716,-0.290437835922621,0.0808942556987702,8.02367766437721e-05,0.000490308584887736,MTND2P28,unprocessed_pseudogene
ENSG00000278791,811.428356656074,-0.147194624534364,0.160705866998122,0.161104561556415,0.286880103655445,,miRNA
ENSG00000237973,13623.8046546012,-0.321424524826174,0.0967892545259779,0.000179094151177449,0.000984408314813742,MTCO1P12,unprocessed_pseudogene
ENSG00000229344,715.971730217705,0.0192284197572611,0.126737293910692,0.840568195667698,0.902972610409324,MTCO2P12,unprocessed_pseudogene
ENSG00000240409,31.5540251490946,-0.0473971732195939,0.147485420911878,0.615208745065188,0.742956367258628,MTATP8P1,unprocessed_pseudogene
ENSG00000248527,7146.52463511194,-0.448472953715647,0.0849555846326971,1.20652707555113e-08,2.17955871610983e-07,MTATP6P1,unprocessed_pseudogene
ENSG00000198744,2980.43041787334,-0.527149333822152,0.122632676270079,1.30490212900331e-06,1.31473998949274e-05,MTCO3P12,unprocessed_pseudogene
ENSG00000268663,0.218744482314793,0.0187358876995364,0.186066947205333,0.542305885018513,NA,WBP1LP6,processed_pseudogene
ENSG00000229376,14.2821796153307,0.204063111057078,0.118133495234471,0.0331710000397216,0.0824366249022782,CICP3,processed_pseudogene
ENSG00000223181,0.539638332632981,-0.0403125511132862,0.181132012744631,0.589245136515706,0.72224156019109,RNU6-1199P,snRNA
ENSG00000229905,2.0079812162991,-0.0202180636843762,0.146390186384205,0.82613699102076,0.893896381024659,,lncRNA
ENSG00000228327,1312.43410005403,0.236189603588105,0.0820601135570839,0.00162194879676713,0.00659801121463021,,transcribed_unprocessed_pseudogene
ENSG00000237491,111.454596997358,-0.0352609314760203,0.0509408580584521,0.491700238981055,0.64115129935366,LINC01409,lncRNA
ENSG00000230092,33.4655028490457,-0.0343651428117356,0.0629437605435064,0.54222335633917,0.68402397349255,,transcribed_unprocessed_pseudogene
ENSG00000177757,35.1048888808607,0.022435512977777,0.059662747205854,0.682839052682347,0.794861935454862,FAM87B,lncRNA
ENSG00000225880,40.0320904373225,-0.137949843517267,0.0578833594740767,0.0120519291805745,0.035769386934589,LINC00115,lncRNA
ENSG00000230021,24.8933560450013,0.0713316139287406,0.0947407174753278,0.389556577689718,0.547114799794092,,transcribed_processed_pseudogene
ENSG00000228794,255.599373693526,-0.194372039771924,0.0475104099939691,2.04301606848402e-05,0.00014883038745344,LINC01128,lncRNA
