"","geneName","regulon","log2FC","direction"
"96","ATP2A1","BCL11A",-0.00898132669339796,"Downregulated"
"97","ATP6V1E2","BCL11A",-0.00898132669339796,"Downregulated"
"98","ATP8B4","BCL11A",-0.00898132669339796,"Downregulated"
"99","ATRN","BCL11A",-0.00898132669339796,"Downregulated"
"100","ATXN2","BCL11A",-0.00898132669339796,"Downregulated"
"101","ATXN2L","BCL11A",-0.00898132669339796,"Downregulated"
"102","AUNIP","BCL11A",-0.00898132669339796,"Downregulated"
"103","AURKB","BCL11A",-0.00898132669339796,"Downregulated"
"104","AUTS2","BCL11A",-0.00898132669339796,"Downregulated"
"105","AXIN1","BCL11A",-0.00898132669339796,"Downregulated"
"106","AXL","BCL11A",-0.00898132669339796,"Downregulated"
"107","AZI2","BCL11A",-0.00898132669339796,"Downregulated"
"108","B4GALT1","BCL11A",-0.00898132669339796,"Downregulated"
"109","B4GALT5","BCL11A",-0.00898132669339796,"Downregulated"
"110","BAG6","BCL11A",-0.00898132669339796,"Downregulated"
"111","BANK1","BCL11A",-0.00898132669339796,"Downregulated"
"112","BAX","BCL11A",-0.00898132669339796,"Downregulated"
"113","BAZ1A","BCL11A",-0.00898132669339796,"Downregulated"
"114","BBC3","BCL11A",-0.00898132669339796,"Downregulated"
"115","BCAS1","BCL11A",-0.00898132669339796,"Downregulated"
"116","BCAS4","BCL11A",-0.00898132669339796,"Downregulated"
"117","BCL11A","BCL11A",-0.00898132669339796,"Downregulated"
"118","BCL2","BCL11A",-0.00898132669339796,"Downregulated"
"119","BCL2A1","BCL11A",-0.00898132669339796,"Downregulated"
"120","BCL2L12","BCL11A",-0.00898132669339796,"Downregulated"
"121","BCL2L13","BCL11A",-0.00898132669339796,"Downregulated"
"122","BDP1","BCL11A",-0.00898132669339796,"Downregulated"
"123","BEND6","BCL11A",-0.00898132669339796,"Downregulated"
"124","BFSP2-AS1","BCL11A",-0.00898132669339796,"Downregulated"
"125","BICD1","BCL11A",-0.00898132669339796,"Downregulated"
"126","BIRC2","BCL11A",-0.00898132669339796,"Downregulated"
"127","BIRC3","BCL11A",-0.00898132669339796,"Downregulated"
"128","BIRC6","BCL11A",-0.00898132669339796,"Downregulated"
"129","BLK","BCL11A",-0.00898132669339796,"Downregulated"
"130","BMF","BCL11A",-0.00898132669339796,"Downregulated"
"131","BMS1P4","BCL11A",-0.00898132669339796,"Downregulated"
"132","BNIP1","BCL11A",-0.00898132669339796,"Downregulated"
"133","BOD1L1","BCL11A",-0.00898132669339796,"Downregulated"
"134","BPTF","BCL11A",-0.00898132669339796,"Downregulated"
"135","BRAF","BCL11A",-0.00898132669339796,"Downregulated"
"136","BRF1","BCL11A",-0.00898132669339796,"Downregulated"
"137","BRK1","BCL11A",-0.00898132669339796,"Downregulated"
"138","BTG1","BCL11A",-0.00898132669339796,"Downregulated"
"139","BTN3A2","BCL11A",-0.00898132669339796,"Downregulated"
"140","BUB1","BCL11A",-0.00898132669339796,"Downregulated"
"141","BUD31","BCL11A",-0.00898132669339796,"Downregulated"
"142","C12orf42","BCL11A",-0.00898132669339796,"Downregulated"
"143","C12orf57","BCL11A",-0.00898132669339796,"Downregulated"
"144","C15orf61","BCL11A",-0.00898132669339796,"Downregulated"
"145","C17orf49","BCL11A",-0.00898132669339796,"Downregulated"
"146","C18orf21","BCL11A",-0.00898132669339796,"Downregulated"
"147","C1orf127","BCL11A",-0.00898132669339796,"Downregulated"
"148","C1orf220","BCL11A",-0.00898132669339796,"Downregulated"
"149","C1QTNF7","BCL11A",-0.00898132669339796,"Downregulated"
"150","C21orf58","BCL11A",-0.00898132669339796,"Downregulated"
"151","C6orf136","BCL11A",-0.00898132669339796,"Downregulated"
"152","C6orf226","BCL11A",-0.00898132669339796,"Downregulated"
"153","C8orf44-SGK3","BCL11A",-0.00898132669339796,"Downregulated"
"154","C9orf163","BCL11A",-0.00898132669339796,"Downregulated"
"155","CAB39","BCL11A",-0.00898132669339796,"Downregulated"
"156","CACNB2","BCL11A",-0.00898132669339796,"Downregulated"
"157","CACNB4","BCL11A",-0.00898132669339796,"Downregulated"
"158","CADM2","BCL11A",-0.00898132669339796,"Downregulated"
"159","CALD1","BCL11A",-0.00898132669339796,"Downregulated"
"160","CALM2","BCL11A",-0.00898132669339796,"Downregulated"
"161","CAMTA2","BCL11A",-0.00898132669339796,"Downregulated"
"162","CAPN10","BCL11A",-0.00898132669339796,"Downregulated"
"163","CAPN14","BCL11A",-0.00898132669339796,"Downregulated"
"164","CAPZB","BCL11A",-0.00898132669339796,"Downregulated"
"165","CARD11","BCL11A",-0.00898132669339796,"Downregulated"
"166","CARD8","BCL11A",-0.00898132669339796,"Downregulated"
"167","CARS2","BCL11A",-0.00898132669339796,"Downregulated"
"168","CASC11","BCL11A",-0.00898132669339796,"Downregulated"
"169","CASC3","BCL11A",-0.00898132669339796,"Downregulated"
"170","CAV1","BCL11A",-0.00898132669339796,"Downregulated"
"171","CBL","BCL11A",-0.00898132669339796,"Downregulated"
"172","CBLL1","BCL11A",-0.00898132669339796,"Downregulated"
"173","CBX1","BCL11A",-0.00898132669339796,"Downregulated"
"174","CBX3","BCL11A",-0.00898132669339796,"Downregulated"
"175","CBX3P2","BCL11A",-0.00898132669339796,"Downregulated"
"176","CCDC12","BCL11A",-0.00898132669339796,"Downregulated"
"177","CCDC126","BCL11A",-0.00898132669339796,"Downregulated"
"178","CCDC134","BCL11A",-0.00898132669339796,"Downregulated"
"179","CCDC157","BCL11A",-0.00898132669339796,"Downregulated"
"180","CCDC174","BCL11A",-0.00898132669339796,"Downregulated"
"181","CCDC175","BCL11A",-0.00898132669339796,"Downregulated"
"182","CCDC28B","BCL11A",-0.00898132669339796,"Downregulated"
"183","CCDC3","BCL11A",-0.00898132669339796,"Downregulated"
"184","CCDC39","BCL11A",-0.00898132669339796,"Downregulated"
"185","CCDC50","BCL11A",-0.00898132669339796,"Downregulated"
"186","CCDC57","BCL11A",-0.00898132669339796,"Downregulated"
"187","CCDC88B","BCL11A",-0.00898132669339796,"Downregulated"
"188","CCDC9","BCL11A",-0.00898132669339796,"Downregulated"
"189","CCL25","BCL11A",-0.00898132669339796,"Downregulated"
"190","CCL5","BCL11A",-0.00898132669339796,"Downregulated"
"191","CCM2","BCL11A",-0.00898132669339796,"Downregulated"
"192","CCNA2","BCL11A",-0.00898132669339796,"Downregulated"
"193","CCNC","BCL11A",-0.00898132669339796,"Downregulated"
"194","CCNG2","BCL11A",-0.00898132669339796,"Downregulated"
"195","CCNL2","BCL11A",-0.00898132669339796,"Downregulated"
"196","CCNT1","BCL11A",-0.00898132669339796,"Downregulated"
"197","CCPG1","BCL11A",-0.00898132669339796,"Downregulated"
"198","CCR7","BCL11A",-0.00898132669339796,"Downregulated"
"199","CCSER2","BCL11A",-0.00898132669339796,"Downregulated"
"200","CCT6B","BCL11A",-0.00898132669339796,"Downregulated"
"201","CD101","BCL11A",-0.00898132669339796,"Downregulated"
"202","CD1D","BCL11A",-0.00898132669339796,"Downregulated"
"203","CD28","BCL11A",-0.00898132669339796,"Downregulated"
"204","CD2AP","BCL11A",-0.00898132669339796,"Downregulated"
"205","CD300A","BCL11A",-0.00898132669339796,"Downregulated"
"206","CD36","BCL11A",-0.00898132669339796,"Downregulated"
"207","CD37","BCL11A",-0.00898132669339796,"Downregulated"
"208","CD70","BCL11A",-0.00898132669339796,"Downregulated"
"209","CD79A","BCL11A",-0.00898132669339796,"Downregulated"
"210","CD79B","BCL11A",-0.00898132669339796,"Downregulated"
"211","CD83","BCL11A",-0.00898132669339796,"Downregulated"
"212","CDC25B","BCL11A",-0.00898132669339796,"Downregulated"
"213","CDC25C","BCL11A",-0.00898132669339796,"Downregulated"
"214","CDC42BPG","BCL11A",-0.00898132669339796,"Downregulated"
"215","CDC73","BCL11A",-0.00898132669339796,"Downregulated"
"216","CDCA2","BCL11A",-0.00898132669339796,"Downregulated"
"217","CDH1","BCL11A",-0.00898132669339796,"Downregulated"
"218","CDH17","BCL11A",-0.00898132669339796,"Downregulated"
"219","CDIP1","BCL11A",-0.00898132669339796,"Downregulated"
"220","CDIPT","BCL11A",-0.00898132669339796,"Downregulated"
"221","CDK19","BCL11A",-0.00898132669339796,"Downregulated"
"222","CDK2AP2","BCL11A",-0.00898132669339796,"Downregulated"
"223","CDK5RAP1","BCL11A",-0.00898132669339796,"Downregulated"
"224","CDK5RAP3","BCL11A",-0.00898132669339796,"Downregulated"
"225","CDK6","BCL11A",-0.00898132669339796,"Downregulated"
"226","CDKN1A","BCL11A",-0.00898132669339796,"Downregulated"
"227","CDKN2A","BCL11A",-0.00898132669339796,"Downregulated"
"228","CDNF","BCL11A",-0.00898132669339796,"Downregulated"
"229","CDT1","BCL11A",-0.00898132669339796,"Downregulated"
"230","CEBPG","BCL11A",-0.00898132669339796,"Downregulated"
"231","CECR3","BCL11A",-0.00898132669339796,"Downregulated"
"232","CELF1","BCL11A",-0.00898132669339796,"Downregulated"
"233","CENPC","BCL11A",-0.00898132669339796,"Downregulated"
"234","CENPM","BCL11A",-0.00898132669339796,"Downregulated"
"235","CEP128","BCL11A",-0.00898132669339796,"Downregulated"
"236","CEP192","BCL11A",-0.00898132669339796,"Downregulated"
"237","CEP350","BCL11A",-0.00898132669339796,"Downregulated"
"238","CEP57","BCL11A",-0.00898132669339796,"Downregulated"
"239","CEP63","BCL11A",-0.00898132669339796,"Downregulated"
