gene_name,log2FoldChange,padj,direction,source
CKAP2L,1.09730257490456,3.38289629384511e-19,Up-regulated,IRF2
PARP14,1.16918191501088,2.11185522456346e-28,Up-regulated,IRF2
SAMD9L,1.41819768037426,8.83544267735103e-33,Up-regulated,IRF2
EXOC3L1,1.58879404831111,8.00828170238233e-18,Up-regulated,IRF2
PXT1,1.05862544727474,3.8199939042498e-11,Up-regulated,IRF2
DDX60L,1.25543007463543,1.63414161435386e-29,Up-regulated,IRF2
USP18,2.83055409344908,4.18492258404903e-31,Up-regulated,IRF2
IRF7,1.28036769374498,3.99077490447081e-22,Up-regulated,IRF2
IFIT1,2.57491657084068,1.16648415138003e-26,Up-regulated,IRF2
IFITM1,1.11142974525403,1.05333068438069e-30,Up-regulated,IRF2
ISG15,2.52154457782164,4.08198056695273e-26,Up-regulated,IRF2
PLSCR1,1.50374689810645,9.23543789090532e-32,Up-regulated,IRF2
SAMD9,1.12026481087023,1.95485340917388e-25,Up-regulated,IRF2
NRIR,2.22558450121788,6.55067465773718e-23,Up-regulated,IRF2
LAP3,1.12188920383399,8.84290573335841e-23,Up-regulated,IRF1
ETV7,1.54298850976076,1.00543046564162e-16,Up-regulated,IRF1
FOXC1,1.10347167246863,7.67376960940974e-08,Up-regulated,IRF1
EIF2AK2,1.59271783000146,7.69613765994664e-31,Up-regulated,IRF1
PARP12,1.04560023116472,2.92968216441302e-22,Up-regulated,IRF1
IFI35,1.08403339254851,1.13358938423177e-20,Up-regulated,IRF1
CA12,1.00096569282716,6.26444894756168e-08,Up-regulated,IRF1
LAMP3,1.65969754900599,1.29387783258024e-20,Up-regulated,IRF1
CEACAM1,1.17751691709516,5.54743284799181e-19,Up-regulated,IRF1
CADPS2,1.42596078136695,0.000615050556626066,Up-regulated,IRF1
NKAIN1,2.30461186273263,3.02111890488058e-05,Up-regulated,IRF1
CHMP5,1.05903588035494,6.22427545327004e-24,Up-regulated,IRF1
OAS1,2.02707872725152,2.52392275465891e-26,Up-regulated,IRF1
CDC45,1.13098141874761,3.40812313212151e-11,Up-regulated,IRF1
SFRP1,1.32873355935373,1.81555744084341e-05,Up-regulated,IRF1
CAV1,1.27207490862544,2.10166812043655e-10,Up-regulated,IRF1
LGALS3BP,1.38998670977066,4.73243774645441e-20,Up-regulated,IRF1
CCL8,1.85840480127299,1.14818621449767e-09,Up-regulated,IRF1
DHX58,1.08696066231358,1.89182322058877e-19,Up-regulated,IRF1
OAS3,2.27831111279212,1.16963690245986e-23,Up-regulated,IRF1
OAS2,1.8664603205396,2.11401922753326e-25,Up-regulated,IRF1
IFIH1,1.33850850992991,1.44425093977836e-30,Up-regulated,IRF1
GBP1,1.10655840469281,6.26347429594725e-21,Up-regulated,IRF1
IFIT3,2.23080941615439,1.19275115033254e-28,Up-regulated,IRF1
IFIT2,1.75427005442142,5.80713564459244e-28,Up-regulated,IRF1
INHBA,1.38124216897912,2.86645406568941e-09,Up-regulated,IRF1
ZBP1,1.28402643876687,2.67439647588396e-24,Up-regulated,IRF1
MOCS1,1.52323737365802,3.18650266680223e-08,Up-regulated,IRF1
MT2A,1.20394961634382,9.78820712421442e-16,Up-regulated,IRF1
IFI6,2.1351268048688,6.15987356216978e-27,Up-regulated,IRF1
LIF,1.60187085031906,1.29489017978399e-17,Up-regulated,IRF1
APOBEC3A,1.14882721064478,2.00330894930438e-25,Up-regulated,IRF1
RNASE1,1.74783662862642,5.26915194332599e-13,Up-regulated,IRF1
KLHDC7B,1.32192268346349,4.16022722899892e-17,Up-regulated,IRF1
HELZ2,1.02351440519534,1.13179090467602e-16,Up-regulated,IRF1
ASS1,1.10216054046018,5.87191719887768e-05,Up-regulated,IRF1
TRIM22,1.17846825194995,2.65814136646483e-27,Up-regulated,IRF1
XAF1,1.76404566993268,1.22815830285464e-27,Up-regulated,IRF1
EPSTI1,2.09270204222659,3.87345589917604e-30,Up-regulated,IRF1
EPHB2,1.44690974592602,1.10150849410764e-19,Up-regulated,IRF1
RSAD2,2.88245286709172,2.36392162009677e-25,Up-regulated,IRF1
CMPK2,2.36415717731566,2.31238690113774e-25,Up-regulated,IRF1
OASL,2.00107162257635,1.51380997464219e-28,Up-regulated,IRF1
RTP4,1.6077962210579,1.06479160777988e-24,Up-regulated,IRF1
